regiao;estado;municipio;codigo_mun;capital;porte;populacao;area;densidade_dem;pib;pib_pc;participacao_transf_receita;servidores;comissionados;comissionados_por_servidor;perc_pop_econ_ativa;taxa_empreendedorismo;anos_estudo_empreendedor;jornada_trabalho;gasto_pc_saude;hab_p_medico;exp_vida;gasto_pc_educacao;exp_anos_estudo;nota_ciencias;nota_humanas;nota_linguagem;nota_mat;nota_redacao;idhm;ranking_igm;indice_governanca
SUDESTE;SP;ILHABELA;3520400;0;Pequeno porte 2;32782,0;347,52;94,33126151012893;3256711,64;105112,86;77,0;1495,0;74,0;0,049498327759197325;1,18;0,22;8,43612852911521;42,7262311391165;1529,48;394,9875;75,56;1734,52;10,63;482,0543478260869;541,226086956522;530,6511111111108;507,952777777778;499,3611111111112;0,747;1º;0,767
SUDESTE;SP;SANTANA DE PARNAIBA;3547304;0;Grande porte;129261,0;179,95;718,3161989441512;7373602,99;60939,87;51,0;6157,0;587,0;0,09533863894753938;1,04;0,25;10,869492335727804;42,542934883375395;1017,67;400,728155339806;75,92;1704,93;10,01;483,99762532981583;542,7604221635892;535,7651286601596;499,91109139307923;547,5066548358474;0,885;2º;0,759
SUL;SC;BOMBINHAS;4202453;0;Pequeno porte 1;18052,0;35,92;502,5612472160356;377357,32;23135,14;32,0;583,0;48,0;0,0823327615780446;1,09;0,32;8,83667844153451;40,3143349862262;830,7;1126,4666666666699;76,86;1370,96;10,44;472,1056074766355;541,9495327102804;523,2519230769232;474,50673076923056;515,0;0,807;3º;0,758
SUDESTE;SP;SAO BERNARDO DO CAMPO;3548708;0;Grande porte;822242,0;409,53;2007,7698825482871;47668531,31;59149,8;49,0;10673,0;611,0;0,057247259439707675;1,09;0,18;9,659423647907401;42,6205219535694;1113,74;2459,05757575758;76,65;770,79;10,22;489,2415144372419;552,6161903358857;546,1737209994044;514,2043575252835;557,6680547293279;0,8640000000000001;4º;0,7559999999999999
CENTRO-OESTE;DF;BRASILIA;5300108;1;Grande porte;2977216,0;5780,0;515,0892733564013;175362791,42;62859,43;35,0;119072,0;6288,0;0,052808384842784196;1,1;0,18;9,187699771132099;39,546425755334795;1982,45;572,880498091986;77,35;2077,49;9,87;493,51475767340736;551,9824984539249;538,3666117554056;509,20600619399215;567,991532683184;0,909;5º;0,736
SUDESTE;SP;SANTOS;3548500;0;Grande porte;434359,0;280,67;1547,5790073752091;19265873,5;44478,22;39,0;11391,0;205,0;0,017996664033008515;1,04;0,24;11,293142839507501;42,14680463674;1074,31;795,532110091743;76,13;1141,13;10,84;502,0777569509527;560,6736019993748;553,9931659249849;524,7790209790197;570,1446280991737;0,9470000000000001;6º;0,731
SUDESTE;SP;INDAIATUBA;3520509;0;Grande porte;235367,0;311,55;755,4710319370887;10303801,98;46404,74;47,0;4801,0;496,0;0,10331181003957508;1,13;0,19;9,09699684474595;42,9358606729594;719,33;1211,77540106952;75,22;850,96;10,68;489,8417342799185;552,8093813387426;547,4338868707835;518,3308770108973;553,8323819408407;0,823;7º;0,727
SUL;RS;GRAMADO;4309100;0;Pequeno porte 2;34832,0;237,83;146,45755371483833;1341090,44;39316,64;38,0;1008,0;218,0;0,21626984126984128;1,22;0,26;8,29629193909979;43,4221003306236;817,78;1272,77777777778;76,64;1175,58;10,61;487,4403141361257;552,1361256544503;540,6430851063828;513,4313829787235;542,5531914893618;0,7659999999999999;8º;0,727
SUL;SC;BALNEARIO CAMBORIU;4202008;0;Grande porte;131727,0;46,24;2848,767301038062;3882423,04;32105,78;27,0;2815,0;286,0;0,10159857904085258;1,19;0,32;10,6846738332071;41,9880445626003;824,92;1916,2615384615399;78,62;894,28;10,47;492,4566912539509;551,0785036880935;537,2688506981739;513,5693877551015;552,1160042964556;0,9590000000000001;9º;0,726
SUL;SC;RIO DO SUL;4214805;0;Médio porte;68217,0;260,97;261,397861823198;2042374,12;31297,87;65,0;1173,0;98,0;0,08354646206308611;1,18;0,21;8,8991417308872;43,8195106369238;1087,28;5096,23076923077;78,61;689,73;10,16;501,0789893617023;549,4449468085113;537,1479025710418;522,6952638700952;562,5033829499323;0,857;10º;0,72
SUDESTE;SP;SAO SEBASTIAO;3550704;0;Médio porte;84294,0;399,68;210,9037229783827;5772025,89;71810,12;53,0;2683,0;237,0;0,08833395452851286;1,14;0,2;7,857615314543231;42,7948757274836;1364,32;1021,475;77,51;1361,46;10,35;470,5673323823109;537,3276747503563;526,5824383164005;479,28621190130633;501,42235123367203;0,785;11º;0,7140000000000001
SUDESTE;SP;JUNDIAI;3525904;0;Grande porte;405740,0;431,21;940,9336518169802;36622896,04;92970,39;57,0;7459,0;480,0;0,06435178978415337;1,1;0,2;10,0952171523123;41,6210933998217;996,33;1163,64035087719;76,94;918,79;10,79;505,22121120819486;562,6683940946065;551,9675030599748;536,2250305997554;574,5899632802938;0,905;12º;0,7120000000000001
SUL;SC;FLOR DO SERTAO;4205357;0;Pequeno porte 1;1597,0;58,74;27,187606401089546;25491,69;15882,67;90,0;84,0;9,0;0,10714285714285714;1,39;0,48;5,553274237275139;43,915122034494;1679,16;1603,0;72,52;1597,23;10,66;467,3428571428572;500,01904761904746;502,5380952380953;507,1476190476189;563,8095238095239;0,632;13º;0,7070000000000001
SUL;SC;CONCORDIA;4204301;0;Médio porte;73206,0;799,45;91,57045468759772;2354993,83;32937,44;65,0;1621,0;127,0;0,0783466995681678;1,22;0,27;7,73718406033144;49,169227839097786;837,15;1441,46;77,33;646,46;10,46;492,2129205921942;542,5491251682373;529,4762228260865;512,2961956521737;565,3260869565217;0,852;14º;0,703
SUDESTE;ES;VITORIA;3205309;1;Grande porte;359555,0;96,54;3724,4147503625436;22289815,47;64001,91;49,0;10031,0;713,0;0,07107965307546606;1,09;0,23;11,0083523281684;40,7888461288955;671,86;768,7860262008729;76,28;957,78;10,04;524,30348785872;573,9109713024277;548,7507023411367;550,9904124860675;596,2037904124861;0,9590000000000001;15º;0,7020000000000001
CENTRO-OESTE;GO;OUVIDOR;5215504;0;Pequeno porte 1;6242,0;413,78;15,085311034849438;341868,84;57621,58;68,0;138,0;144,0;1,0434782608695652;1,0;0,2;7,5469474150701705;48,3620743862219;1472,92;6038,0;74,81;1506,01;10,49;432,7787878787879;504,0272727272728;501,1272727272727;471,7030303030304;469,09090909090907;0,726;16º;0,7
SUDESTE;SP;SAO PAULO;3550308;1;Grande porte;12038175,0;1521,11;7914,0726180223655;570706191,59;48275,45;30,0;134273,0;7240,0;0,05391999880839782;1,07;0,21;9,91759875491019;40,426422080151795;688,02;879,028522870022;76,3;767,4;10,11;488,2213388527516;552,5700295683027;543,1562207121382;509,3401407015858;549,4847373530364;0,8640000000000001;17º;0,6940000000000001
SUDESTE;SP;PIRACICABA;3538709;0;Grande porte;394419,0;1378,07;286,2111503769765;20273704,33;52619,75;54,0;3154,0;215,0;0,06816740646797717;1,06;0,2;9,268783695237358;41,6602871160037;842,92;1091,04494382022;75,88;793,05;10,22;497,33964646464585;558,7106060606076;547,7178308823525;521,6976102941167;559,3676470588234;0,816;18º;0,693
SUL;SC;CORDILHEIRA ALTA;4204350;0;Pequeno porte 1;4253,0;82,86;51,32754042964036;189538,17;46880,58;86,0;92,0;47,0;0,5108695652173914;1,23;0,36;6,192538456848179;50,767455669308504;902,17;685,666666666667;76,32;966,7;10,51;456,24659090909097;502,8420454545452;489,0068965517244;453,5839080459768;495,63218390804604;0,726;19º;0,693
SUL;SC;CHAPECO;4204202;0;Grande porte;209553,0;626,06;334,7171197648788;6621741,8;33411,42;60,0;2909,0;211,0;0,072533516672396;1,2;0,21;8,47831323639637;43,1861549064038;991,43;1303,28387096774;77,25;573,46;10,75;486,4244364754096;539,0298668032791;527,4062794348506;510,8332810047091;537,3809523809524;0,828;20º;0,693
SUL;RS;TUPANDI;4322251;0;Pequeno porte 1;4421,0;59,54;74,2526032919046;315219,63;74204,24;83,0;211,0;47,0;0,22274881516587677;1,37;0,32;6,078661119013798;48,1070822197655;1051,32;430,9;75,18;1515,19;8,73;489,9115384615384;557,0192307692306;541,564;544,6400000000001;549,6;0,6559999999999999;21º;0,693
SUDESTE;RJ;NITEROI;3303302;0;Grande porte;497883,0;133,92;3717,764336917563;19908508,36;40284,31;44,0;8069,0;2313,0;0,28665262114264467;1,04;0,23;11,469114457350399;39,660141494498895;387,87;1182,50596658711;76,23;315,29;9,68;525,7913926106376;583,1410272026003;554,6218858662296;555,1318470034777;639,9161382695847;0,94;22º;0,693
CENTRO-OESTE;GO;CHAPADAO DO CEU;5205471;0;Pequeno porte 1;8853,0;2185,12;4,051493739474262;920448,16;114455,13;69,0;319,0;152,0;0,47648902821316613;1,13;0,17;7,6747265021604;41,4745641838609;1166,68;1039,75;75,2;1435,33;9,45;464,187951807229;511,8903614457832;506,2938271604938;484,9703703703704;480,0;0,7140000000000001;23º;0,691
SUDESTE;SP;SOROCABA;3552205;0;Grande porte;652481,0;450,38;1448,7344020604824;26908886,58;42764,72;41,0;10260,0;192,0;0,01871345029239766;1,05;0,22;9,328403831445812;40,2415341470677;801,42;1092,9451114922801;75,59;737,82;10,59;490,1201276302176;553,7141083132094;544,1887306610394;516,983368495076;554,4411040787624;0,847;24º;0,691
SUL;PR;SANTA HELENA;4123501;0;Pequeno porte 2;25665,0;758,23;33,84856837635018;626156,82;25151,91;38,0;530,0;87,0;0,1641509433962264;1,16;0,34;7,52755571160064;41,3558544210612;624,9;1397,72222222222;74,38;1053,08;10,89;476,69247311827934;532,9505376344089;520,7681564245812;485,2474860335197;515,977653631285;0,718;25º;0,69
SUDESTE;RJ;CASIMIRO DE ABREU;3301306;0;Pequeno porte 2;41167,0;460,77;89,34392430062721;4068375,98;105694,07;71,0;2010,0;442,0;0,21990049751243781;1,07;0,18;7,245784161262421;43,0894614365436;1575,51;555,12676056338;73,64;1088,23;9,04;475,87994186046524;533,4593023255818;522,0190615835779;484,50997067448645;549,4428152492669;0,675;26º;0,6890000000000001
SUDESTE;SP;BARRETOS;3505500;0;Grande porte;119948,0;1566,16;76,5873218572815;3347124,55;28418,69;54,0;2751,0;104,0;0,037804434750999635;1,08;0,2;9,181348384099847;41,76575877798779;753,99;1058,22321428571;77,5;735,94;10,42;482,1847896440135;537,3188781014029;526,3364731653886;497,4866374589267;541,5772179627602;0,826;27º;0,6890000000000001
SUL;RS;CARLOS BARBOSA;4304804;0;Pequeno porte 2;27835,0;229,99;121,02700117396408;1462421,26;54211,94;59,0;418,0;81,0;0,1937799043062201;1,4;0,24;7,80399321419056;45,593352611111705;579,3;1239,95454545455;75,07;694,25;10,97;502,0508474576274;548,5802259887008;537,6929824561404;533,2239766081871;550,7602339181286;0,8420000000000001;28º;0,688
SUDESTE;SP;BURITIZAL;3508207;0;Pequeno porte 1;4377,0;266,42;16,428946775767585;251010,66;58661,06;85,0;98,0;24,0;0,24489795918367346;1,05;0,19;7,31473189610289;47,127584832745;1055,21;392,09090909090895;74,79;1675,78;10,03;448,5526315789473;518,6210526315791;516,5105263157893;484,10526315789457;530,5263157894736;0,6970000000000001;29º;0,688
CENTRO-OESTE;MS;BATAGUASSU;5001904;0;Pequeno porte 2;22084,0;2417,6;9,134679020516215;492873,37;23312,52;61,0;493,0;39,0;0,07910750507099391;1,05;0,19;7,00806216474138;43,6652679647443;664,85;1788,58333333333;75,8;745,24;9,82;455,6831395348839;506,3936046511628;496,9720238095237;457,5017857142855;493,095238095238;0,637;30º;0,685
SUL;RS;PORTO ALEGRE;4314902;1;Grande porte;1481019,0;496,68;2981,837400338246;57379336,78;39091,64;39,0;16913,0;913,0;0,05398214391296636;1,1;0,24;10,8898895006198;41,10339252361621;960,72;1073,2376093294502;76,42;567,35;9,76;502,85206323953275;565,2963309137898;548,6309179727249;529,1697130063117;572,7996132709138;0,8640000000000001;31º;0,684
SUL;RS;BENTO GONCALVES;4302105;0;Grande porte;114203,0;274,07;416,6928157040172;4737042,85;42528,93;57,0;1950,0;145,0;0,07435897435897436;1,23;0,23;9,02956566187577;44,66835014944961;726,2;863,984615384615;75,52;654,74;10,02;508,96629766297684;562,4628536285363;546,9421508034611;534,9032138442525;589,7898640296662;0,8;32º;0,679
SUDESTE;SP;GAVIAO PEIXOTO;3516853;0;Pequeno porte 1;4714,0;243,77;19,337900479960616;99960,71;21566,5;76,0;235,0;31,0;0,13191489361702127;1,08;0,08;8,42822926922512;43,110012512767;1500,01;310,8;73,14;1306,09;10,91;450,4757575757576;516,860606060606;500,9121212121212;453,039393939394;466,66666666666674;0,659;33º;0,6779999999999999
SUL;RS;GARIBALDI;4308607;0;Pequeno porte 2;33384,0;168,14;198,5488283573213;1458893,15;44781,54;56,0;536,0;47,0;0,08768656716417911;1,27;0,27;8,82130928309552;44,1538148988099;511,34;2738,5;76,35;650,25;10,42;492,58447204968917;541,9937888198756;527,8068750000003;521,9137499999998;580,0;0,8190000000000001;34º;0,6779999999999999
SUDESTE;SP;BOTUCATU;3507506;0;Grande porte;141032,0;1482,64;95,12221442831705;3789753,72;27810,83;66,0;2216,0;106,0;0,04783393501805054;1,02;0,2;9,306611198046893;41,8082408599571;476,96;1139,66115702479;77,13;658,13;10,45;513,3044806517312;562,9226069246439;548,9671175858484;531,6845993756497;589,0270551508845;0,852;35º;0,675
SUDESTE;MG;EXTREMA;3125101;0;Pequeno porte 2;33729,0;244,59;137,90015945050902;4064082,72;128232,82;80,0;483,0;70,0;0,14492753623188406;1,13;0,17;7,644091260936309;44,4878586425152;802,76;437,864864864865;75,95;929,16;9,59;498,39073170731695;551,558536585366;545,5225;526,1635000000003;556,1;0,69;36º;0,675
SUL;SC;SANTIAGO DO SUL;4215695;0;Pequeno porte 1;1341,0;73,84;18,16088840736728;40734,39;28807,91;84,0;68,0;28,0;0,4117647058823529;1,13;0,57;5,3764523256295895;45,978962565553395;1595,49;;73,68;1458,61;10,91;454,29375;494,0562499999999;510,55;496,2124999999999;523,75;0,68;37º;0,674
SUL;SC;TREZE TILIAS;4218509;0;Pequeno porte 1;7392,0;186,64;39,60565795113588;336129,48;48538,55;82,0;139,0;34,0;0,2446043165467626;1,21;0,33;7,59636340207814;50,0204840616813;689,37;;77,43;997,07;10,44;470,2457142857143;513,4742857142859;507,67941176470566;481,2352941176472;510,0;0,84;38º;0,674
SUDESTE;MG;BELO HORIZONTE;3106200;1;Grande porte;2513451,0;331,4;7584,342184671093;81426708,27;32844,41;46,0;33803,0;1593,0;0,04712599473419519;1,12;0,22;9,96990556418702;40,1974194322201;956,68;874,0733333333329;76,37;500,67;9,87;515,3694953253192;567,1694476245003;548,9859597328434;546,8772868066964;592,4586196883167;0,8759999999999999;39º;0,6729999999999999
SUL;SC;POMERODE;4213203;0;Pequeno porte 2;31760,0;214,73;147,90667349694965;1471934,62;49049,77;62,0;771,0;68,0;0,08819714656290532;1,25;0,13;8,03278469254108;42,9569742898349;621,76;1390,81818181818;78,14;811,32;10,62;496,2690476190478;551,6607142857143;538,1293413173655;521,4772455089818;585,6287425149701;0,804;40º;0,6729999999999999
SUDESTE;SP;SAO JOSE DO RIO PRETO;3549805;0;Grande porte;446649,0;431,94;1034,0533407417697;13259377,15;30548,82;44,0;4638,0;255,0;0,054980595084087966;1,13;0,25;9,579305510671393;41,750249381294395;611,69;822,427767354597;75,74;643,01;10,06;512,2878119935168;564,6078119935166;552,6514447027571;536,2523414148126;595,1012952507472;0,845;41º;0,672
SUL;SC;BLUMENAU;4202404;0;Grande porte;343715,0;518,5;662,9026036644166;12893271,08;39179,51;50,0;6091,0;250,0;0,04104416351994746;1,21;0,21;9,337930217699279;43,554284650053994;829,61;1109,64119601329;78,64;659,4;9,97;502,580393799749;560,5779220779224;544,9647761194032;531,4462686567166;570,0550106609808;0,866;42º;0,672
SUL;SC;ALTO BELA VISTA;4200754;0;Pequeno porte 1;1977,0;103,98;19,013271783035197;40084,98;19972,58;87,0;125,0;28,0;0,224;1,27;0,43;5,87726001455287;53,0454566232804;1510,29;998,5;77,93;1505,57;10,72;494,6764705882353;540,7352941176471;523,78;511,96666666666664;565,3333333333334;0,745;43º;0,672
SUL;SC;CRICIUMA;4204608;0;Grande porte;209153,0;235,7;887,3695375477303;5569297,84;27516,97;63,0;1942,0;428,0;0,2203913491246138;1,13;0,21;9,398296465818241;41,932468805024904;926,13;772,328301886792;75,76;663,72;10,49;501,3282817502678;559,0275346851656;546,0398696360674;535,371971754481;572,8267246061922;0,823;44º;0,669
SUL;RS;XANGRI-LA;4323804;0;Pequeno porte 1;14430,0;60,69;237,76569451309936;308730,44;22553,18;33,0;659,0;70,0;0,1062215477996965;1,09;0,34;6,8042896509262;43,7531691802071;1240,12;516,703703703704;76,11;1695,18;9,24;467,9085106382978;528,6829787234043;514,1444444444444;472,33333333333326;519,1111111111112;0,6970000000000001;45º;0,669
SUDESTE;SP;JAU;3525300;0;Grande porte;144828,0;687,1;210,78154562654635;3317902,52;23686,28;66,0;2911,0;205,0;0,07042253521126761;1,14;0,2;8,935925712958529;42,2353216783781;777,06;1288,20909090909;78,13;599,08;10,3;501,6441729323314;556,4729323308275;547,1611641221364;525,3793893129772;565,4580152671756;0,8;46º;0,6679999999999999
SUL;RS;NOVA BOA VISTA;4312955;0;Pequeno porte 1;1942,0;94,24;20,60696095076401;58840,57;29747,51;75,0;103,0;16,0;0,1553398058252427;1,26;0,47;6,579169340454791;53,7987142614727;1146,69;1965,0;75,13;1332,18;10,87;481,6903225806452;540,5354838709677;513,0935483870968;495,76774193548385;574,8387096774194;0,7759999999999999;47º;0,6679999999999999
